date,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2014-06-26,107.0907792517,107.3422503872,107.0907792517,107.2254959314,698658
2014-06-27,107.3422503872,107.423080395,107.2075337075,107.2075337075,729333
2014-06-30,107.2704014913,107.2883637153,107.0279114679,107.1087414757,857200
2014-07-01,106.9118384145,107.0379243161,106.6866850188,106.6956911546,5448403
2014-07-02,106.5605991172,106.5605991172,106.2453843632,106.3174334498,3277957
2014-07-03,106.0562555108,106.2724027707,105.9661941526,106.2093598199,648417
2014-07-07,106.2904150424,106.4705377589,106.2273720916,106.3984886723,1219195
2014-07-08,106.7137034263,106.8668077354,106.6866850188,106.7947586487,1296398
2014-07-09,106.7407218338,107.0559365877,106.6056297963,106.9658752295,836731
2014-07-10,107.1189795385,107.145997946,106.8578015995,106.884820007,524035
2014-07-11,107.0289181803,107.2720838476,107.0289181803,107.2180470326,1259286
2014-07-14,105.9752002884,106.2003536841,105.889641998,105.9481818809,1567617
2014-07-15,106.9118384145,107.2090408968,106.7227095621,106.8758138712,791435
2014-07-16,106.9838875011,107.1640102177,106.8938261428,107.1279856744,963848
2014-07-17,107.3351267984,107.6143170091,107.2270531685,107.5332617866,847870
2014-07-18,107.4882311075,107.5242556508,107.2360593043,107.3891636134,539295
2014-07-21,107.5062433791,107.5963047374,107.3621452059,107.3891636134,852606
2014-07-22,107.4522065642,107.5332617866,107.3306237305,107.4702188358,1017473
2014-07-23,107.5872986016,107.668353824,107.5422679225,107.5963047374,1597840
2014-07-24,107.2720838476,107.3261206626,107.1550040819,107.1730163535,813364
2014-07-25,107.5062433791,107.5872986016,107.3711513417,107.5872986016,655372
2014-07-28,107.5422679225,107.6323292807,107.3810580911,107.4612127,1290569
2014-07-29,107.6503415524,107.668353824,107.4251881567,107.5602801941,787505
2014-07-30,107.2450654401,107.3351267984,106.9028322787,107.0649427236,1305845
2014-07-31,106.6056297963,106.9298506862,106.5966236605,106.7677402412,2121700
2014-08-01,106.6931053335,107.3704932028,106.6479461423,107.3163021733,2763593
2014-08-04,107.3614613646,107.4879071002,107.2259837907,107.3433976881,1779326
2014-08-05,107.1808245994,107.4698434237,107.0272833491,107.4517797472,2416284
2014-08-06,107.5782254828,107.5836445857,107.2440474672,107.2621111438,1799466
2014-08-07,107.4246842324,107.587257321,107.2892066585,107.5420981297,1839228
2014-08-08,107.7227348949,107.8491806305,107.4788752619,107.515002615,1048326
2014-08-11,107.6053209975,107.7317667331,107.4970292568,107.5601618063,770895
2014-08-12,107.6595120271,107.6685438653,107.4608115854,107.5059707767,1927352
2014-08-13,107.515002615,107.7769259244,107.4788752619,107.7227348949,2260622
2014-08-14,107.8943398218,107.9304671748,107.6504801888,107.8401487922,1694221
2014-08-15,107.9936900426,108.5446321763,107.9394990131,108.219485999,1729501
2014-08-18,108.147231293,108.1788427269,107.7498304097,107.90337166,1558997
2014-08-19,108.147231293,108.1788427269,107.7498304097,107.90337166,1558997
2014-08-20,107.867244307,107.90337166,107.5782254828,107.6595120271,746698
2014-08-21,107.831116954,108.0569129104,107.8220851157,108.0298173956,1817855
2014-08-22,108.0298173956,108.2736770286,107.7859577627,108.1652949695,1014480
2014-08-25,108.2736770286,108.3368998964,108.1323287599,108.3368998964,793280
2014-08-26,107.8943398218,108.2285178373,107.8491806305,108.2285178373,838279
2014-08-27,108.4723774702,108.6439823971,108.4001227642,108.5897913676,1412367
2014-08-28,108.8336510005,108.9239693831,108.6710779119,108.8246191623,1100211
2014-08-29,108.7704281327,108.9962240892,108.7343007797,108.9059057066,1257900
2014-09-02,108.4526914172,108.5794942967,108.3077738405,108.3892899774,3493449
2014-09-03,108.199085658,108.534207554,108.1537989153,108.534207554,838279
2014-09-04,108.2624870978,108.3802326288,107.7371608825,107.7643329281,4901921
2014-09-05,108.0179386872,108.1447415668,107.6828167913,107.7824476252,1557322
2014-09-08,107.9726519445,108.0541680814,107.5741286088,107.6013006544,1133015
2014-09-09,107.5016698205,107.5197845175,107.3024081526,107.3114655011,1853438
2014-09-10,107.0940891362,107.2480640613,107.057859742,107.1393758789,1894778
2014-09-11,107.2299493643,107.3748669409,107.057859742,107.057859742,1300161
2014-09-12,106.7499098916,106.8993561426,106.5144188296,106.5415908752,1296947
2014-09-15,106.7770819373,106.82236868,106.5234761781,106.5687629208,3575620
2014-09-16,106.5778202694,106.8042539829,106.4917754583,106.5506482238,1567617
2014-09-17,106.7046231489,106.7958306487,106.2064689793,106.2608130705,1763289
2014-09-18,106.3423292074,106.4963041325,106.2680589493,106.4510173898,1521217
2014-09-19,106.5778202694,106.8948274683,106.4239359177,106.8676554227,739017
2014-09-22,106.9219995139,107.0306876964,106.7951966343,106.9672862566,1729397
2014-09-23,107.0306876964,107.1393758789,106.9310568624,107.1393758789,904405
2014-09-24,107.0759744391,107.0940891362,106.82236868,106.8857701197,786715
2014-09-25,106.9310568624,107.275236107,106.9219995139,107.2027773186,1375210
2014-09-26,106.7680245887,107.0035156508,106.3332718588,106.9672862566,3295014
2014-09-29,106.9854009537,107.0850317876,106.7680245887,106.9219995139,3628249
2014-09-30,107.0035156508,107.2553099402,106.9219995139,107.0759744391,1716080
2014-10-01,107.4600677306,107.9142139048,107.4055701897,107.7234725117,1973484
2014-10-02,107.7234725117,107.8960480578,107.5145652715,107.7143895882,1891220
2014-10-03,107.6962237412,108.0413748336,107.5145652715,108.0232089866,2535792
2014-10-06,108.0050431396,108.222942474,107.9687114457,108.0777065275,1858370
2014-10-07,108.3411113085,108.6590136304,108.2321162267,108.4682722373,1887872
2014-10-08,108.63176486,109.0677451872,108.2956966911,109.0223305698,2297862
2014-10-09,108.7498428653,108.9405842584,108.5500185486,108.5681843956,1786223
2014-10-10,108.63176486,108.6953453244,108.4591893138,108.6590136304,1371449
2014-10-13,108.9224184114,109.158574422,108.8134233296,108.9405842584,1748235
2014-10-14,109.0768281107,109.2221548864,108.895169641,109.1858231925,2826394
2014-10-15,109.721715678,111.2022322057,109.1131598046,109.2675695038,3498558
2014-10-16,109.0495793402,109.176740269,108.7680087122,108.9769159523,1537757
2014-10-17,109.0495793402,109.176740269,108.7680087122,108.9769159523,1537757
2014-10-20,109.2494036568,109.2584865803,108.9678330289,109.176740269,1735316
2014-10-21,108.9950817993,109.2130719629,108.9496671819,109.1131598046,1150021
2014-10-22,108.9315013349,109.0132476463,108.7952574827,108.9315013349,956975
2014-10-23,108.7225940948,108.8588379471,108.4955210077,108.7225940948,1408352
2014-10-24,108.7044282478,108.9496671819,108.63176486,108.7680087122,1727836
2014-10-27,108.7680087122,108.913335488,108.6862624009,108.9042525645,1946540
2014-10-28,108.7316770183,108.7680087122,108.4864380842,108.5409356251,2212974
2014-10-29,108.4955210077,108.7225940948,108.3592771555,108.4137746964,2542046
2014-10-30,107.9323797518,108.068623604,107.4963994246,107.6235603533,1931443
2014-10-31,108.368360079,108.4864380842,108.1140382214,108.3956088494,1893722
2014-11-03,108.191290491,108.3643528348,108.0546623248,108.1821819466,6621711
2014-11-04,108.2095075798,108.5100895453,108.1821819466,108.3370272015,2155422
2014-11-05,108.2186161242,108.2550503018,108.034805698,108.1366392245,1725294
2014-11-06,108.0182281472,108.1275306801,107.7814059926,107.8087316258,1458659
2014-11-07,107.9362512475,108.5009810009,107.9362512475,108.4918724565,1730012
2014-11-10,108.3734613792,108.391678468,107.9362512475,107.9453597919,1710519
2014-11-11,107.9362512475,108.0182281472,107.8451658034,107.9362512475,805630
2014-11-12,108.236833213,108.3734613792,107.7996230814,107.9271427031,1931443
2014-11-13,107.9635768808,107.990902514,107.7646462709,107.8087316258,2128519
2014-11-14,107.7085376373,108.1275306801,107.6502429531,107.9453597919,1784817
2014-11-17,108.0637708693,108.1002050469,107.635669282,107.6903205485,1770060
2014-11-18,107.6721034597,107.8087316258,107.6265607376,107.7814059926,2002868
2014-11-19,107.3533044053,107.5536923823,107.2075676948,107.2075676948,1890210
2014-11-20,107.6721034597,107.7540803593,107.3578586776,107.6174521932,2040077
2014-11-21,107.836057259,108.1639648578,107.7540803593,108.0819879581,1820201
2014-11-24,108.0455537804,108.2914844795,108.0273366916,108.2550503018,1592598
2014-11-25,108.391678468,108.8015629664,108.3461357459,108.7195860667,2052816
2014-11-26,109.0566022098,109.1659047428,108.992842399,109.0930363875,978158
2014-11-28,109.2205560092,109.4027268974,109.2205560092,109.3845098086,1037754
2014-12-01,109.4267941981,109.4998671825,108.6503937384,109.0066245375,6029822
2014-12-02,108.6412596153,108.6595278614,108.2758946931,108.2758946931,1496175
2014-12-03,108.3489676776,108.5407842617,108.2850288162,108.3855041698,5153700
2014-12-04,108.3398335545,108.6960643537,108.3124311854,108.5590525078,2413017
2014-12-05,108.4677112773,108.5225160156,108.0566757398,108.1114804781,1118645
